题号,问题,选项A,选项B,选项C,正确答案
51,《水浒传》、《乔家大院》配乐的曲作者是？,赵季平,谷建芬,张千一,A
52,歌曲《青藏高原》的曲作者是？,张千一,印青,赵季平,A
53,民族交响组歌《诗经五首·西北组曲》的曲作者是？,金湘,施光南,郭文景,A
54,歌曲《长城谣》的曲作者是？,刘雪庵,王莘,朱践耳,A
55,歌曲《红豆词》的曲作者是？,刘雪庵,刘炽,任光,A
56,歌曲《大刀进行曲》的曲作者是？作于何时？,麦新、1937年,李劫夫、1938年,冼星海、1940年,A
57,歌曲《丈夫去当兵》的曲作者是？,张曙,吕骥,李劫夫,A
58,电影歌曲《何日君再来》的曲作者是？,刘雪庵,周淑安,任光,A
59,歌曲《松花江上》的曲作者是？,张寒晖,冼星海,王莘,A
60,歌曲《保卫马德里》的曲作者是？,吕骥,冼星海,刘雪庵,A
61,歌曲《新编九一八小调》的曲作者是？,吕骥,张寒晖,麦新,A
62,歌曲《救国军歌》的曲作者是？,冼星海,吕骥,任光,A
63,歌曲《救亡进行曲》的曲作者是？,孙慎,麦新,张曙,A
64,歌曲《五月的鲜花》的曲作者是？,阎述诗,李劫夫,郑秋枫,A
65,歌曲《没有共产党就没有新中国》的曲作者是？,曹火星,张寒晖,王莘,A
66,歌曲《渔光曲》的曲作者是？,任光,冼星海,刘雪庵,A
67,歌曲《北京欢迎你》的曲作者是？,小柯,谷建芬,郭峰,A
68,歌曲《思乡曲》的曲作者是？,夏之秋,刘雪庵,任光,A
69,瞿希贤的《牧歌》是根据什么地区民歌改编的无伴奏合唱？,东蒙地区,内蒙古,新疆,A
70,《全世界人民联合起来》的是谁的什么作品？,瞿希贤的合唱曲,王莘的独唱曲,冼星海的交响曲,A
71,中央歌舞团陕北民间合唱队所演唱的《三十里铺》是谁改编的？,王方亮,施光南,王昆,A
72,当代歌剧的两座高峰是什么？,《洪湖赤卫队》和《江姐》,《白毛女》和《小二黑结婚》,《原野》和《伤逝》,A
73,歌剧《江姐》的作曲是？编剧是？女主角是？,羊鸣/姜春阳/金砂(作曲)、阎肃(编剧)、江竹筠(女主角),施光南(作曲)、万方(编剧)、子君(女主角),郭文景(作曲)、曹禺(编剧)、韩英(女主角),A
74,歌剧《江姐》是根据哪个的传统音乐改编？根据什么小说改编的？著名唱段是？,川剧高腔、《红岩》、《红梅赞》/《五洲人民齐欢笑》,黄梅戏、《烈火中永生》、《清粼粼的水来》,京剧、《青春之歌》、《常青就义》,A
75,歌剧《洪湖赤卫队》是采用了哪个地区的音乐作为素材？著名唱段是？,湖北天沔地区、《洪湖水浪打浪》/《看天下劳苦人民都解放》,陕北地区、《延安颂》,江西地区、《十送红军》,A
76,歌剧《洪湖赤卫队》的作曲是？女主角是谁？首演于哪年？,张敬安/欧阳谦叔(作曲)、韩英(女主角)、1959年首演,羊鸣/姜春阳/金砂(作曲)、江竹筠(女主角)、1964年首演,马可/乔谷(作曲)、郭兰英(女主角)、1955年首演,A
77,歌剧《骆驼祥子》的曲作者是？,郭文景,金湘,赵季平,A
78,抗日时期由爱国人士刘良模组建的一个音乐团体是什么？,民众歌咏会,救亡演剧队,抗敌同盟会,A
79,在左翼音乐中，业余合唱团的组织者都有谁？,聂耳和吕骥,冼星海和麦新,任光和张曙,A
80,我国建国以来有一部优秀的大型史诗性合唱作品是什么？共几个乐章？别称是？作于何时？,《长征组歌》、10个乐章、《红军不怕远征难》、60年代,《黄河大合唱》、8个乐章、《保卫黄河》、40年代,《英雄的诗篇》、7个乐章、《英雄赞歌》、50年代,A
81,民族器乐合奏曲《喜洋洋》的曲作者是？,刘明源,刘文金,吴祖强,A
82,中国哪一位作曲家续写过歌剧《图兰朵》？,郝维亚,郭文景,赵季平,A
83,《王贵与李香香》谁的什么作品？,梁寒光的歌剧,马可的舞剧,王西麟的交响曲,A
84,《小二黑结婚》谁的什么作品？著名唱段是？,马可/乔谷的歌剧、《清粼粼的水来，蓝盈盈的天》,梁寒光的舞剧、《喜洋洋》,陈紫/茅沅的音乐剧、《一道道水来一道道山》,A
85,歌剧作品《刘胡兰》是谁的什么作品？著名唱段是？,陈紫/茅沅的歌剧、《一道道水来一道道山》,马可/乔谷的歌剧、《小二黑结婚》,梁寒光的歌剧、《王贵与李香香》,A
86,歌剧《伤逝》的作曲是？是根据谁的文学作品改编？男女主角是？,施光南、鲁迅、涓生(男)/子君(女),郭文景、曹禺、觉新(男)/鸣凤(女),金湘、巴金、高觉新(男)/琴(女),A
87,金湘的歌剧作品《原野》是根据谁的话剧改编的？谁编剧？,原作：曹禺、编剧：万方,原作：老舍、编剧：阎肃,原作：巴金、编剧：刘德馨,A
88,郭文景的两部代表性的歌剧作品是什么？,《狂人日记》和《夜宴》,《伤逝》和《原野》,《骆驼祥子》和《图兰朵》,A
89,成兆才《杨三姐告状》是什么剧种？,评剧,京剧,越剧,A
90,评剧由什么合流而成？代表演员是？,河北的莲花落和东北的蹦蹦、白玉霜,江苏的说唱和浙江的小歌班、袁雪芬,湖北的花鼓戏和湖南的弹腔、常香玉,A
91,越剧代表人物袁雪芬的代表作是？,《祥林嫂》,《红楼梦》,《西厢记》,A
92,袁雪芬是什么著名表演艺术家？,越剧,京剧,评剧,A
93,朱践耳写了几部交响曲？,11部（10部大交响曲+1小交响曲）,8部,15部,A
94,1938年国民政府军事委员会成立了专管抗战宣传的第三厅，谁负责音乐工作？,冼星海和张曙,聂耳和任光,吕骥和孙慎,A
95,京剧中的老生三鼎甲是谁？,程长庚、张二奎、余三胜,谭鑫培、杨小楼、余叔岩,梅兰芳、尚小云、程砚秋,A
96,京剧中的四大名旦是谁？,梅兰芳、尚小云、程砚秋、荀慧生,杨小楼、余叔岩、高庆奎、马连良,程长庚、张二奎、余三胜、谭鑫培,A
97,麒派老生是？,周信芳，艺名麒麟童,梅兰芳，艺名梅郎,尚小云，艺名小凤仙,A
98,京剧表演艺术家梅兰芳属于什么行当？,青衣,花旦,小生,A
99,京剧表演艺术家谭鑫培的行当是什么？,生,旦,净,A
100,京剧中老生角色无腔不学谭指的是？,谭鑫培,谭富英,谭元寿,A
101,京剧表演艺术家梅兰芳最有名的唱段是什么？,《贵妃醉酒》,《思凡》,《四郎探母》,A
102,梅兰芳剧目的首席编剧是谁？,齐如山,田汉,欧阳予倩,A
103,《仰神·昭和之章》选自谁的什么作品？,江文也的《孔庙大晟乐章》——第一乐章,冼星海的《黄河大合唱》,贺绿汀的《牧童短笛》,A
104,《康定情歌》是谁创编的哪里的民歌？,江定仙编配的四川民歌,王洛宾编配的新疆民歌,阿拉腾奥勒编配的内蒙古民歌,A
105,《剑舞》选自谁的作品？,马思聪的《西藏音诗》,吴祖强的《草原小姐妹》,刘文金的《长城随想》,A
106,《延安颂》的作曲是？,郑律成,冼星海,马可,A
107,《雄鸡高声叫》选自谁的什么作品？,安波的《兄妹开荒》,刘炽的《减租会》,冼星海的《生产大合唱》,A
108,《翻身道情》选自谁的什么作品？,刘炽的《减租会》,马可的《小二黑结婚》,朱践耳的《英雄的诗篇》,A
109,《北风吹》选自谁的什么作品？,马可等人的《白毛女》,吴祖强等人的《红色娘子军》,张敬安等人的《洪湖赤卫队》,A
110,《十里风雪》选自谁的什么作品？,马可等人的《白毛女》,吴祖强等人的《红色娘子军》,张敬安等人的《洪湖赤卫队》,A
111,《刀杀我，斧砍我》选自谁的什么作品？,马可等人的《白毛女》,羊鸣等人的《江姐》,陈紫等人的《刘胡兰》,A
112,《太阳出来了》选自谁的什么作品？,马可等人的《白毛女》,刘炽的《减租会》,朱践耳的《英雄的诗篇》,A
113,《过山》选自谁的什么作品？,马思聪的《山林之歌》,王西麟的《云南音诗》,刘文金的《长城随想》,A
114,《清粼粼的水蓝莹莹的天》选自谁的什么作品？,马可、乔谷的《小二黑结婚》,杜鸣心、吴祖强的《刘胡兰》,梁寒光的《王贵与李香香》,A
115,《洪湖水，浪打浪》选自谁的什么作品？,张敬安、欧阳谦叔的《洪湖赤卫队》,羊鸣、姜春阳、金砂的《江姐》,马可、乔谷的《小二黑结婚》,A
116,《红梅赞》选自谁的什么作品？,羊鸣、姜春阳、金砂的《江姐》,张敬安、欧阳谦叔的《洪湖赤卫队》,马可、乔谷的《小二黑结婚》,A
117,《常青就义》选自谁的什么作品？,吴祖强、杜鸣心的《红色娘子军》,羊鸣、姜春阳、金砂的《江姐》,张敬安、欧阳谦叔的《洪湖赤卫队》,A
118,《大星、金子、仇虎的三重唱》选自谁的什么作品？,金湘的《原野》,郭文景的《狂人日记》,施光南的《伤逝》,A
119,《草原放牧》选自谁的什么作品？,吴祖强、王燕樵、刘德海的《草原小姐妹》,乌兰托嘎的《草原英雄小姐妹》,王西麟的《草原音诗》,A
120,《关山行》选自谁的什么作品？,刘文金的《长城随想》第一乐章,王西麟的《云南音诗》第二乐章,马思聪的《西藏音诗》第三乐章,A
121,《端正好》选自谁的什么作品？,元·关汉卿的《窦娥冤·斩窦》,明·汤显祖的《牡丹亭·游园惊梦》,元·马致远的《汉宫秋》,A
122,《皂罗袍》选自谁的什么作品？,明·汤显祖的《牡丹亭·游园惊梦》,元·关汉卿的《窦娥冤·斩窦》,清·洪升的《长生殿》,A
123,《好姐姐》选自谁的什么作品？,明·汤显祖的《牡丹亭·游园惊梦》,元·关汉卿的《窦娥冤·斩窦》,元·白朴的《梧桐雨》,A
124,《酸枣刺》是谁的作品？,冼星海,吕骥,黄自,A
125,《黄河船夫曲》选自谁的什么作品？,冼星海的《黄河大合唱》,朱践耳的《英雄的诗篇》,郑律成的《延安颂》,A
126,《黄河愤》选自？,《黄河钢琴协奏曲》,《黄河大合唱》,《黄河交响曲》,A
127,《山在虚无缥缈间》选自谁的什么作品？,黄自的《长恨歌》,刘雪庵的《红豆词》,贺绿汀的《南乡子》,A
128,《火把节》选自谁的什么作品？,王西麟的《云南音诗》第四乐章,马思聪的《西藏音诗》第三乐章,刘文金的《长城随想》第二乐章,A
129,《义勇军进行曲》最早的版本是由谁配器的？他的代表作是？,阿甫夏洛穆夫、代表作《孟姜女》,聂耳、代表作《义勇军进行曲》,黎锦晖、代表作《毕业歌》,A
130,《除夜小唱》的原名是？是谁的什么作品？,刘天华二胡曲《良宵》,刘天华古筝曲《病中吟》,阿炳二胡曲《二泉映月》,A
131,《病中吟》的原名是？是谁的什么作品？,刘天华二胡曲《安适》,阿炳二胡曲《听松》,吕文成二胡曲《病中花》,A 
