题号,问题,选项A,选项B,选项C,正确答案
24,六代乐舞中，西周时期的作品是？,《大武》,《大濩》,《大夏》,A
25,六代乐舞中，属于歌颂自然作品是哪些？,"《云门》·《咸池》·《箫韶》","《大夏》·《大濩》·《大武》","《商颂》·《周颂》·《大雅》",A
26,六代乐舞中，反映专制统治、歌颂祖先的作品是哪些？,"《大夏》·《大濩》·《大武》","《云门》·《咸池》·《箫韶》","《商颂》·《周颂》·《小雅》",A
27,西周乐舞中规模较小的乐舞是？,小舞,散乐,四夷之乐,A
28,西周乐舞中周边部族的乐舞、歌曲是？,四夷之乐,散乐,小舞,A
29,西周乐舞中民间乐舞是？,散乐,小舞,四夷之乐,A
30,我国周代按照制作材料的不同进行乐器分类的方法是？,八音分类法,五音分类法,四音分类法,A
31,我国音乐史上最早的乐器分类法是？,八音分类法,五音分类法,七音分类法,A
32,八音分类法分为哪些？,金石土木丝竹匏革,金石木竹皮革,金石土水火木,A
33,按八音分类法分类，钟属于？,金类乐器,石类乐器,土类乐器,A
34,按八音分类法分类，镛属于？,金类乐器,石类乐器,木类乐器,A
35,按八音分类法分类，钲属于？,金类乐器,革类乐器,丝类乐器,A
36,按八音分类法分类，铙属于？,金类乐器,石类乐器,革类乐器,A
37,按八音分类法分类，铎属于？,金类乐器,丝类乐器,竹类乐器,A
38,按八音分类法分类，磬属于？,石类乐器,金类乐器,土类乐器,A
39,按八音分类法分类，鸣球属于？,石类乐器,金类乐器,革类乐器,A
40,按八音分类法分类，埙属于？,土类乐器,石类乐器,匏类乐器,A
41,按八音分类法分类，缶属于？,土类乐器,革类乐器,丝类乐器,A
42,按八音分类法分类，鼓属于？,革类乐器,土类乐器,木类乐器,A
43,按八音分类法分类，建鼓属于？,革类乐器,金类乐器,丝类乐器,A
44,按八音分类法分类，鼗属于？,革类乐器,金类乐器,竹类乐器,A
45,按八音分类法分类，拊属于？,革类乐器,匏类乐器,土类乐器,A
46,按八音分类法分类，琴属于？,丝类乐器,革类乐器,木类乐器,A
47,按八音分类法分类，瑟属于？,丝类乐器,金类乐器,革类乐器,A
48,按八音分类法分类，筑属于？,丝类乐器,竹类乐器,土类乐器,A
49,按八音分类法分类，柷属于？,木类乐器,丝类乐器,革类乐器,A
50,按八音分类法分类，敔属于？,木类乐器,匏类乐器,金类乐器,A
51,按八音分类法分类，笙属于？,匏类乐器,竹类乐器,土类乐器,A
52,按八音分类法分类，竽属于？,匏类乐器,竹类乐器,丝类乐器,A
53,按八音分类法分类，箫（排箫）属于？,竹类乐器,匏类乐器,木类乐器,A
54,按八音分类法分类，篪属于？,竹类乐器,丝类乐器,土类乐器,A
55,我国最早的宫廷音乐机构是什么？,大司乐,大乐署,太乐署,A
56,大司乐是哪个朝代的最高音乐机构？,周代,商代,春秋战国,A
57,我国最早的宫廷音乐机构大司乐重要职能是？,音乐教育,祭祀演奏,宫廷宴乐,A
58,我国最早承担培养贵族子弟音乐教育任务的宫廷音乐机构是？,大司乐,乐府,大乐署,A
59,我国最早的宫廷音乐机构大司乐所教授的内容是？,乐德、乐语、乐舞,琴棋书画、诗词歌赋,礼仪、政治、军事,A
60,我国古代第一所音乐学校是？,大司乐,乐府,太乐署,A
61,我国最早为了配合礼乐制度，维护周王朝最高统治的音乐机构是？,大司乐,大乐署,乐府,A
62,周代大司乐的两个职能是？,"行政管理·音乐表演","教育教学·乐器制作","礼仪制定·音律研究",A
63,西周的转调理论是什么？,旋宫转调,五度相生,三分损益,A
64,隔八相生法记录于哪部文献？,《吕氏春秋·音律篇》,《管子·地员篇》,《周礼》,A
65,在三分损益法所生的五律基础上，继续往下生律至十二律，所采用的生律法是？,隔八相生法,三分损益法,五度相生法,A
66,春秋战国时期的三分损益法记录于哪部文献？,《管子·地员篇》,《吕氏春秋·音律篇》,《礼记·乐记》,A
67,春秋战国时期出现的最早的乐律计算方法是？,《管子·地员篇》记载的三分损益法,隔八相生法,十二平均律,A
68,《管子·地员篇》的作者是？,管仲,子贡,墨子,A
69,三分损益法在周代产生了五声音阶，其音名为？,宫商角徵羽,宫商徵羽角,宫徵商羽角,A
70,周代逐渐形成的完整的十二个半音结构是？,十二律,十二辰,十二音阶,A
71,十二律产生于哪个朝代？,周代,商代,春秋战国,A
72,"十二律"中，前两个和后两个是？,"黄钟 大吕 无射 应钟","宫调 商调 羽调 角调","一律 二律 十一律 十二律",A
73,"十二律"中第一吕为？,大吕,应钟,夹钟,A
74,"十二律"中第一律是什么？,黄钟,太簇,姑洗,A
75,三分损益法中出现的什么问题，是历代律学家所不断探索的？,黄钟不能还原,五音不成比例,十二律不均等,A
76,战国时期的曾侯乙编钟出土于哪儿？,湖北随县擂鼓墩遗址,河南安阳殷墟,陕西西安秦陵,A
77,曾侯乙编钟共多少枚？,64枚（或65枚）,48枚,72枚,A
78,曾侯乙编钟有几层？分别是？,"三层·上层钮钟·中下层甬钟","两层·上层钮钟·下层甬钟","四层·第一层钮钟·第二三四层甬钟",A
79,曾侯乙编钟之外有一件是谁赠予的什么？,楚惠王铸赠的铜鎛,秦始皇铸赠的金铙,汉武帝铸赠的铜磬,A
80,曾侯乙编钟的总音域达到几个八度？,5个八度，十二律具备,3个八度，七律具备,7个八度，完全十二律具备,A
81,隔八相生法和十二律都能从哪件乐器上体现出来？,战国曾侯乙编钟,唐代法曲笙,宋代莲花磬,A
82,曾侯乙编钟上共有多少个错金铭文？记录了各个国家的各种律名、阶名、变化音名的对照情况,2800个,1200个,3600个,A
83,曾侯乙编钟可以一钟几音？多数甬钟可以发几度的音程？,"一钟双音·大三度和小三度","一钟三音·纯四度和纯五度","一钟单音·大二度和小二度",A
84,曾侯乙编钟的律制是怎样的？3点,"①上层钮钟律制接近三分损益法·②中下层甬钟律制接近纯律·③这套编钟为复合律制","①全部钮钟律制为隔八相生·②全部甬钟律制为平均律·③这套编钟为单一律制","①钮钟与甬钟律制相同·②所有钟律制为五度相生·③这套编钟为变化律制",A
85,曾侯乙姓什么？,姬,芈,姜,A
86,我国历史上的编钟音乐文化所达到的惊人成就已距今多少年？,2400多年,1800多年,3000多年,A
87,我国最早具有半音音阶关系的特大型定调乐器？,曾侯乙编钟,石磬,编磬,A
88,曾侯乙编钟的什么特点对于乐律学研究有帮助？,铭文,音色,铸造技术,A
89,我国最早的诞生于春秋末年的诗歌总集是？,《诗经》,《楚辞》,《乐府诗集》,A
90,《诗经》现存多少篇？,305篇（又称为诗三百）,215篇,405篇,A
91,《诗经》分为哪三个部分？,风、雅、颂,赋、比、兴,诗、歌、赋,A
92,《诗经》中的《风》共多少篇？共包括几国的民歌？,"160篇·15国民歌","120篇·12国民歌","180篇·18国民歌",A
93,《诗经》中，记录15国民歌的是？,《风》,《雅》,《颂》,A
94,《诗经》中的《风》所记录的民歌都流行于何地？,我国北方各地,我国南方各地,我国西部各地,A
95,《诗经》中的《风》所记录的代表性作品有？,《关雎》、《伐檀》,《大雅》、《小雅》,《商颂》、《周颂》,A
96,《诗经》中的《雅》共多少篇？,105篇,95篇,115篇,A
97,《诗经》中的《雅》分为？,大雅和小雅,上雅和下雅,内雅和外雅,A
98,《诗经》中，记录朝会宴飨、个人抒情之作的是哪一篇？,《雅》,《风》,《颂》,A
99,《诗经》中的《颂》共多少篇？,40篇,30篇,50篇,A
100,《诗经》中，记录祭祀宗庙祖先乐舞的是？,《颂》,《雅》,《风》,A
101,战国时期在楚国民歌基础上形成的一种歌曲体裁是？,楚辞,诗经,乐府,A
102,原是楚国民间在祭祀时所唱的一套歌曲，后被屈原加工的著作是？,《九歌》,《离骚》,《天问》,A
103,《楚辞》中记录了战国时期的楚国民间歌曲，大量收录了诗人屈原的作品，其中《九歌》一共有多少首？,11首,9首,13首,A
104,我国最早的说唱音乐记载于哪儿？,"《荀子·成相篇》·（成相以"相"为伴奏乐器）","《礼记·乐记》·（以"磬"为伴奏乐器）","《左传》·（以"钟"为伴奏乐器）",A
105,在《礼记》所记载的"邻有丧，舂不相"中，"相"是指？,伴奏乐器"相"（舂牍 舂米器具演变）,乐器"相鼓",乐器"相磬",A
106,春秋战国时期，郑国和卫国的民间音乐被称为？后来也成为宫廷对什么民间音乐的代称？,"郑卫之音·民间俗乐","淮南之音·地方曲调","齐鲁之音·乡间小调",A 
