题号,问题,选项A,选项B,选项C,正确答案
42,马友友是我国什么类型的音乐家？,大提琴家,小提琴家,钢琴家,A
43,王健是我国什么类型的音乐家？,大提琴家,钢琴家,指挥家,A
44,廖昌永是我国什么类型的音乐家？,歌剧演唱家,民族声乐演唱家,器乐演奏家,A
45,周小燕是我国什么类型的音乐家？,歌剧演唱家,民族声乐演唱家,指挥家,A
46,戴玉强是我国什么类型的音乐家？,歌剧演唱家,通俗歌手,民族声乐演唱家,A
47,郭淑珍是我国什么类型的音乐家？,歌剧演唱家,钢琴家,小提琴家,A
48,郭兰英是我国什么类型的音乐家？,民族声乐演唱家,歌剧演唱家,流行歌手,A
49,王昆是我国什么类型的音乐家？,民族声乐演唱家,作曲家,钢琴家,A
50,才旦卓玛是我国什么类型的音乐家？,民族声乐演唱家,歌剧演唱家,舞蹈家,A
51,阁维文是我国什么类型的音乐家？,民族声乐演唱家,歌剧演唱家,流行歌手,A
52,李谷一是我国什么类型的音乐家？,民族声乐演唱家,歌剧演唱家,指挥家,A
53,严良堃是我国什么类型的音乐家？,指挥家,作曲家,钢琴家,A
54,李德伦是我国什么类型的音乐家？,指挥家,钢琴家,小提琴家,A
55,彭修文是我国什么类型的音乐家？,指挥家,作曲家,小提琴家,A
56,郑小瑛是我国什么类型的音乐家？,指挥家,钢琴家,歌剧演唱家,A
57,谭小麟的老师是谁？,欣德米特,勃拉姆斯,肖斯塔科维奇,A
58,谭盾的老师是谁？,约翰·凯奇,伯恩斯坦,贝里奥,A
59,洗星海的老师是谁？,杜卡,拉威尔,萨蒂,A
60,陈其钢的老师是谁？,梅西安,布列兹,利盖蒂,A
61,廖昌永的老师是谁？,周小燕,郭兰英,李谷一,A
62,郎朗的老师是谁？,朱雅芬,刘诗昆,周广仁,A
63,萧友梅所处的年代是？,20世纪20年代,20世纪30年代,20世纪40年代,A
64,赵元任所处的年代是？,20世纪20年代,20世纪30年代,20世纪40年代,A
65,刘天华所处的年代是？,20世纪20年代,20世纪30年代,20世纪40年代,A
66,黎锦晖所处的年代是？,20世纪20年代,20世纪30年代,20世纪40年代,A
67,黄自所处的年代是？,20世纪30年代,20世纪20年代,20世纪40年代,A
68,刘雪庵所处的年代是？,20世纪30年代,20世纪20年代,20世纪40年代,A
69,聂耳所处的年代是？,20世纪30年代,20世纪20年代,20世纪40年代,A
70,贺绿汀所处的年代是？,20世纪30—40年代,20世纪20—30年代,20世纪40—50年代,A
71,冼星海所处的年代是？,20世纪30—40年代,20世纪20—30年代,20世纪40—50年代,A
72,马思聪所处的年代是？,20世纪30—40年代和解放后,20世纪20—30年代和解放后,20世纪40—50年代和解放后,A
73,江文也所处的年代是？,20世纪30—40年代和解放后,20世纪20—30年代和解放后,20世纪40—50年代和解放后,A
74,马思聪曾任哪个学校的院长？,中央音乐学院,上海音乐学院,中国音乐学院,A
75,赵沨曾任哪个学校的院长？,中央音乐学院,上海音乐学院,中国音乐学院,A
76,吴祖强曾任哪个学校的院长？,中央音乐学院,上海音乐学院,中国音乐学院,A
77,于润洋曾任哪个学校的院长？,中央音乐学院,上海音乐学院,中国音乐学院,A
78,刘霖曾任哪个学校的院长？,中央音乐学院,上海音乐学院,中国音乐学院,A
79,王次炤曾任哪个学校的院长？,中央音乐学院,上海音乐学院,中国音乐学院,A
80,贺绿汀曾任哪个学校的院长？,上海音乐学院,中央音乐学院,中国音乐学院,A
81,桑桐曾任哪个学校的院长？,上海音乐学院,中央音乐学院,中国音乐学院,A
82,江明惇曾任哪个学校的院长？,上海音乐学院,中央音乐学院,中国音乐学院,A
83,杨立青曾任哪个学校的院长？,上海音乐学院,中央音乐学院,中国音乐学院,A
84,徐舒亚曾任哪个学校的院长？,上海音乐学院,中央音乐学院,中国音乐学院,A
85,彭修文除了是我国著名的指挥家，还是著名的？,作曲家,演奏家,教育家,A
86,彭修文最著名的代表作是？,民族管弦乐《秦·兵马俑》,交响曲《长城》,弦乐四重奏《山村》,A
87,古钢琴最早进入中国的记录是？,利玛窦向万历皇帝进贡击弦古钢琴,耶稣会士向康熙皇帝献上大键琴,法国传教士给乾隆皇帝送上羽管键琴,A
88,中国的第一部用中文写成的西洋乐理著作是？,葡萄牙传教士徐日昇·《律吕纂要》,意大利传教士利玛窦·《西方音乐概论》,法国传教士白晋·《和声学基础》,A
89,18世纪引发欧洲中国热潮的起因是？,法国传教士马约瑟将元代纪君祥的《赵氏孤儿》译成法文并在欧洲发表,意大利传教士利玛窦将中国丝绸和瓷器介绍到欧洲,英国探险家将中国园林设计理念带回欧洲,A
90,18世纪启发风琴类结构中自由簧原理运用，并带来口琴和手风琴发明的事件是？,法国传教士阿米奥将我国的乐器笙引入欧洲,德国工程师参考中国竹笛设计了新型管乐器,意大利琴师受中国古琴启发创造了新型拨弦乐器,A 
