题号,问题,选项A,选项B,选项C,正确答案
26,唐代音乐机构太常寺下设的两个部门是？职能分别是？,太乐署和鼓吹署，太乐署：训练考核管理宫廷艺人，鼓吹署：来源于汉代鼓吹乐，管理卤簿和军乐,教坊和梨园，教坊：管理俗乐艺人，梨园：培养宫廷乐师,雅乐署和俗乐署，雅乐署：管理祭祀音乐，俗乐署：管理宴饮音乐,A
27,唐代音乐机构中，教坊和梨园的职能分别是什么？,教坊：培养燕乐表演歌舞人才，由宫廷直接管辖；梨园：唐玄宗设立的个人音乐机构，培养器乐人才,教坊：培养宗教音乐表演者，梨园：培养世俗音乐表演者,教坊：管理北方音乐传统，梨园：管理南方音乐传统,A
28,唐代音乐机构中，教坊的种类有？数量共多少？,内教坊和东西教坊，共五处,宫廷教坊和民间教坊，共三处,军队教坊和宫廷教坊，共七处,A
29,唐玄宗在禁苑设立的音乐机构是？,梨园,教坊,太乐署,A
30,唐代以演奏丝竹之戏的音乐机构是？,梨园,教坊,鼓吹署,A
31,隋唐时期由一种填词的新型民间歌曲形式是？,曲子,大曲,燕乐,A
32,我国哪本著作收录了隋唐时期创作的曲子？,《敦煌歌辞总编》,《全唐诗》,《乐府诗集》,A
33,唐代佛教寺院用于宗教宣传的一种说唱形式是？,变文,佛曲,梵呗,A
34,唐代变文内容有？2点,①佛经故事，②民间故事,①宫廷轶事，②民间传说,①历史典故，②道教经义,A
35,我国最早的说唱本子现存于？,敦煌藏经洞,洛阳龙门石窟,云冈石窟,A
36,我国古代八十四调是隋代万宝常、郑译根据什么发展而来？,苏祗婆的五旦七调,前代的十二律吕,古代的八音五声,A
37,隋代的 八十四调是由谁根据苏祗婆的五旦七调发展而来？,万宝常、郑译,张野狐、石处士,苏世立、杨遵彦,A
38,我国古代苏祗婆的五旦七调哪个地域的音乐风格？,龟兹乐调（qiū cí）,康国乐调,天竺乐调,A
39,我国古代以七声与十二律旋相为宫的理论是？,八十四调,二十八调,七均四调,A
40,我国古代宫调理论较为完整的体系是？,八十四调,十二律吕,五声七音,A
41,唐代宫廷燕乐所用的宫调体系是？又被称为？,二十八调，燕乐二十八调、俗乐二十八调,十二律吕，燕乐十二律、俗乐十二调,八十四调，燕乐八十四调、俗乐八十四调,A
42,对我国古代二十八调的两种解释体系是？,为调式、之调式,主调式、副调式,宫调式、商调式,A
43,宋人对二十八调的解释说法是？,七均四调,四均七调,十二均七调,A
44,清代凌廷堪《燕乐考源》中对二十八调的解释是？,四均七调,七均四调,七声四调,A
45,我国古代十八律理论是由谁创立的？,南宋·蔡元定,唐代·柳宗元,元代·燕南芝庵,A
46,唐代董庭兰是什么乐器的演奏家？,古琴,琵琶,筚篥,A
47,我国古代古琴演奏家董庭兰是哪个朝代的？,唐代,宋代,隋代,A
48,唐代李龟年是什么乐器的演奏家？,筚篥,古琴,琵琶,A
49,我国古代筚篥演奏家李龟年是哪个朝代的？,唐代,宋代,元代,A
50,谁因善弹羯鼓受到唐玄宗的宠爱，并到宫中任职？,李龟年,董庭兰,康昆仑,A
51,唐代著名音乐家是？,李龟年,姜夔,孔三传,A
52,唐代著名的琵琶演奏家有？,康昆仑、段善本、李管儿、曹妙达,董庭兰、李龟年、樊晁、雷海青,南卓、崔令钦、段安节、元万顷,A
53,康昆仑是什么乐器的演奏家？,琵琶演奏家,古琴演奏家,筚篥演奏家,A
54,段善本是什么乐器的演奏家？,琵琶演奏家,古琴演奏家,筚篥演奏家,A
55,李管儿是什么乐器的演奏家？,琵琶演奏家,古琴演奏家,筚篥演奏家,A
56,曹妙达是什么乐器的演奏家？,琵琶演奏家,古琴演奏家,筚篥演奏家,A
57,我国古代通俗性乐理理论专著《乐书要录》的曲作者是？,元万顷（武则天时期）,崔令钦（唐玄宗时期）,南卓（唐文宗时期）,A
58,唐代武则天时期的通俗性乐理理论专著及作者是？,《乐书要录》，元万顷,《教坊记》，崔令钦,《羯鼓录》，南卓,A
59,元万顷所著的通俗性乐理理论专著《乐书要录》的主要内容是？,唐代乐律宫调,唐代乐器演奏法,唐代歌唱技巧,A
60,记载唐代教坊制度的《教坊记》是由谁编撰的？,崔令钦,元万顷,南卓,A
61,记载羯鼓的专门性论著《羯鼓录》的曲作者是？,唐·南卓,唐·元万顷,唐·崔令钦,A
62,记载唐代音乐见闻录《乐府杂录》的曲作者是？,唐·段安节,唐·崔令钦,唐·南卓,A 
