题号,问题,选项A,选项B,选项C,正确答案
20,海顿《皇帝弦乐四重奏》的哪个乐章原是为奥地利国王而作的颂歌？曲式是？,慢乐章、变奏曲式,第一乐章、奏鸣曲式,终曲、回旋曲式,A
21,海顿的两部清唱剧是？,《创世纪》《四季》,《弥赛亚》《以色列人在埃及》,《圣马太受难曲》《圣约翰受难曲》,A
22,海顿《创世纪》、《四季》的创作受亨德尔哪首清唱剧影响？,《弥赛亚》,《以色列人在埃及》,《参孙》,A
23,西方音乐史上第一位独立的音乐人，被誉为音乐天才的是？,莫扎特,海顿,贝多芬,A
24,莫扎特出生于哪儿？,萨尔茨堡,维也纳,布拉格,A
25,莫扎特几岁创作了第一部交响曲？,8岁,12岁,16岁,A
26,莫扎特的协奏曲和歌剧受谁的影响？,约翰·克里斯蒂安·巴赫（巴赫最小的儿子，J·C·巴赫人称伦敦巴赫),卡尔·菲利普·埃马努埃尔·巴赫（巴赫的二儿子，C·P·E·巴赫人称柏林巴赫),威廉·弗里德曼·巴赫（巴赫的长子，W·F·巴赫人称哈雷巴赫),A
27,莫扎特在慕尼黑创作的歌剧是？,《伊多梅纽》,《魔笛》,《费加罗的婚礼》,A
28,音乐史上第一位自由作曲家是？,莫扎特,海顿,贝多芬,A
29,莫扎特的音乐风格是在哪个时期成熟的？,维也纳时期,萨尔茨堡时期,曼海姆时期,A
30,莫扎特一生有多少部作品？,600部,300部,900部,A
31,莫扎特共创作了多少部歌剧？,21部,10部,35部,A
32,莫扎特共创作了多少部交响曲？,41部,104部,9部,A
33,莫扎特的大部分交响曲都在哪个时期创作的？,萨尔茨堡时期,维也纳时期,意大利旅行时期,A
34,莫扎特共创作了多少部钢琴协奏曲？,27部,15部,38部,A
35,莫扎特六首成熟古典风格弦乐四重奏是为谁创作的？,海顿,巴赫,贝多芬,A
36,莫扎特的协奏曲有什么特点？,双呈示部、再现部结尾停在K64上独奏者即兴演奏形成华彩乐段,单一呈示部、全曲没有独奏华彩段落,多重呈示部、每个乐章都有华彩乐段,A
37,莫扎特三部著名喜歌剧是？,《费加罗的婚礼》《唐·乔万尼》《女人心》,《魔笛》《后宫诱逃》《蒂多的仁慈》,《伊多梅纽》《安魂曲》《安魂曲》,A
38,莫扎特喜歌剧《费加罗的婚礼》、《唐·乔万尼》、《女人心》的脚本作者是？,达·蓬特,博马舍,席勒,A
39,莫扎特的歌剧《蒂多的仁慈》是一部什么类型的歌剧？,正歌剧,喜歌剧,浪漫歌剧,A
40,莫扎特两部著名德语歌剧是？,《后宫诱逃》《魔笛》,《费加罗的婚礼》《唐·乔万尼》,《女人心》《伊多梅纽》,A
41,莫扎特生前未完成的最后一部作品是,《安魂曲》,《魔笛》,第41交响曲朱庇特,A
42,莫扎特的歌剧的特征有？,音乐对人物性格的巧妙刻画、旋律优美、重唱的熟练运用,浓厚的民族色彩、复杂的配器、强调管弦乐表现,戏剧性的转折、漫长的宣叙调、大量的合唱段落,A
43,莫扎特喜歌剧《费加罗的婚礼》是根据哪位法国剧作家的同名喜剧改编？,博马舍,大仲马,雨果,A
44,莫扎特的最后一部歌剧是？,《魔笛》,《安魂曲》,《女人心》,A
45,第一部伟大的德语歌剧是？,莫扎特的《魔笛》,格鲁克的《奥菲欧与尤里迪西》,韦伯的《自由射手》,A
46,莫扎特人生中最后一部作品是？,《安魂曲》,《魔笛》,第27钢琴协奏曲,A
47,他的音乐表面上是明朗欢乐的，骨子里却常有一股阴郁的情绪，特别是那些用小调写成的作品说的是哪位作曲家？,莫扎特,海顿,贝多芬,A 
