题号,问题,选项A,选项B,选项C,正确答案
52,英国南部温彻斯特大教堂保存的最早曲集是？,两声部的11世纪奥尔加农曲集,单声部的9世纪圣咏曲集,三声部的13世纪经文歌曲集,A
53,奥尔加农声部和支撑声部之间采用一音对一音的织体的是那种复调形式？,迪斯康特奥尔加农,花腔奥尔加农,平行奥尔加农,A
54,雷奥南和佩罗坦所处的时代是？流派是？,14世纪法国新艺术时期，巴黎圣母院复调,12世纪法国古典时期，圣马蒂亚复调,15世纪文艺复兴时期，佛兰德乐派,A
55,节奏模式出现于何时？内容是？,12世纪，长短两种时值，接近诗歌韵律,9世纪，单一均等时值,14世纪，三种时值，接近舞蹈节奏,A
56,经文歌的前身是？流行于何时？,克劳苏拉，13世纪后半叶,有量歌，12世纪初,奥尔加农，11世纪末,A
57,经文歌最下方的声部是什么？特点是？,支撑声部，来源于圣咏，重复节奏型,独唱声部，独立旋律，自由节奏,花腔声部，装饰性强，变化多端,A
58,《有量歌曲艺术》的作者是？提出了什么？,弗朗克，提出有量记谱法（长音符、短音符、小音符）,维特里，提出等节奏经文歌,若斯坎，提出模进复调技术,A
59,14世纪讨论记谱法革新的《新艺术》的作者是？,维特里,马肖,兰迪尼,A
60,诗剧《弗威尔的故事》是什么时期的作品？,14世纪法国新艺术时期,12世纪法国古典时期,15世纪文艺复兴时期,A
61,文艺复兴时期的时间范围是？,1430-1600年,1400-1550年,1500-1650年,A
62,欧洲文艺复兴音乐中心最初在哪个地区？,佛兰德斯,意大利,法国,A
63,佛兰德乐派的代表人物有哪些？,杜费、若斯坎·德普雷、威拉尔特,帕莱斯特里纳、蒙特威尔第、拉索,加布里埃利、维瓦尔第、弗雷斯科巴尔迪,A
64,杜费的代表作是？,《弥撒曲》,《马德里伽尔》,《帕萨卡利亚》,A
65,若斯坎·德普雷的代表作是？,《弥撒曲》和《世俗歌曲集》,《马德里伽尔》和《歌谣集》,《托卡塔》和《赋格》,A
66,文艺复兴时期声乐的主要特点是？,多声部复调织体，声部地位平等,单声部旋律为主，和声为辅,独唱声部为主导，器乐伴奏,A
67,威尼斯乐派的创始人是谁？,威拉尔特,帕莱斯特里纳,蒙特威尔第,A
68,罗马乐派的代表人物是谁？,帕莱斯特里纳,加布里埃利,若斯坎,A
69,谁被称为巴勒斯琴那风格的创始人？,帕莱斯特里纳,拉索,蒙特威尔第,A
70,谁是文艺复兴时期最重要的马德里伽尔作曲家之一？,拉索,威拉尔特,杜费,A
71,巴洛克时期最重要的音乐形式是？,歌剧、清唱剧、复调形式（赋格）,交响曲、协奏曲、奏鸣曲,艺术歌曲、标题音乐、交响诗,A
72,第一部完整的歌剧《尤里迪西》的作曲家是？,佩里和卡奇尼,蒙特威尔第,亨德尔,A
73,谁被称为歌剧之父？,蒙特威尔第,亨德尔,格鲁克,A
74,蒙特威尔第的代表作是？,《奥菲欧》和《波佩亚的加冕》,《水上音乐》和《皇家烟火》,《弥赛亚》和《尤利乌斯·凯撒》,A
75,清唱剧的特点是什么？,无舞台表演的戏剧性声乐体裁，有宗教或世俗主题,有舞台表演的戏剧性声乐体裁，主要表现神话故事,器乐与合唱相结合的大型作品，不涉及戏剧内容,A
76,亨德尔的代表作是？,《弥赛亚》和《水上音乐》,《四季》和《魔笛》,《勃兰登堡协奏曲》和《马太受难曲》,A
77,巴赫的代表作是？,《马太受难曲》、《勃兰登堡协奏曲》和《十二平均律钢琴曲集》,《四季》、《奥菲欧》和《水上音乐》,《魔笛》、《弥赛亚》和《皇家烟火》,A
78,巴洛克时期的配器法特点是什么？,分为两组：一组由主要乐器组成，另一组是伴奏乐器,完全平等的多声部织体,单一乐器为主导，其他乐器伴奏,A
79,巴洛克时期的和声特点是什么？,基于大小调体系，有功能和声的萌芽,基于教会调式系统,完全功能和声体系的确立,A
80,巴赫的《勃兰登堡协奏曲》共有几首？,6首,12首,9首,A 
