题号,问题,选项A,选项B,选项C,正确答案
35,标志着我国说唱音乐已达到高度成熟的作品是？,《西厢记诸宫调》（《董西厢》）,《刘智远诸宫调》,《天宝遗事诸宫调》,A
36,元杂剧的前身是？,《西厢记诸宫调》（《董西厢》）,宋杂剧,南戏,A
37,宋代《董西厢》是根据谁的什么作品而改编的？,唐代元稹《莺莺传》,宋代欧阳修《洛阳牡丹记》,元代关汉卿《窦娥冤》,A
38,宋代农村流行的说唱形式有？,陶真、货郎儿,话本、赚词,平话、说书,A
39,宋代农村流行的说唱艺术陶真的主要表演者是？,路岐人,孔三传,董解元,A
40,宋代农村流行的说唱艺术陶真的伴奏乐器是？,琵琶,鼓、拍板,胡琴、三弦,A
41,宋代由小商贩叫卖声逐渐发展的民间曲牌是？,货郎儿,陶真,鼓子词,A
42,宋代说唱货郎儿的最高级形式是什么？,转调货郎儿,九转货郎儿,联曲货郎儿,A
43,一个货郎儿本调和八个在货郎儿曲牌中插入其他曲牌的转调货郎儿连成的套曲形式是？,九转货郎儿,十八转货郎儿,二十四转货郎儿,A
44,宋杂剧的结构分为？,艳段、正杂剧、散段,楔子、四折、尾声,开场、过门、大收,A
45,宋杂剧分为哪两类？,滑稽戏、歌舞戏,文戏、武戏,官戏、民戏,A
46,宋杂剧中，以对白为主的是哪类？,滑稽戏,歌舞戏,民戏,A
47,宋杂剧中，以歌舞为主、音乐贯穿全剧的是哪类？,歌舞戏,滑稽戏,武戏,A
48,元杂剧结构是？,一本四折，有时加一个楔子,多本多折，无固定结构,一本多折，可随意增减,A
49,元杂剧中每一折的特点是？,用相同宫调的若干曲牌组成,只使用一种曲牌反复变化,自由使用不同宫调的曲牌,A
50,元杂剧中每一本有几个调？,四个不同的宫调,一个固定的宫调,七个相关的宫调,A
51,元杂剧的表演形式是什么？主唱有几人？,曲（歌唱）、宾白（语言）、科（动作和表情），一人主唱,唱（演唱）、念（对白）、做（动作），多人轮流主唱,词（歌词）、板（伴奏）、腔（唱法），二人对唱,A
52,元杂剧中的歌唱部分被称为？,曲,唱,腔,A
53,元杂剧中的语言部分被称为？,宾白,念,白,A
54,元杂剧中的动作表情被称为？,科,做,表,A
55,元杂剧大多以何地为中心？,北方,南方,西北地区,A
56,元杂剧的曲牌来自于哪儿？,大曲、诸宫调、词调,民间小调、山歌、渔歌,宫廷燕乐、法曲、鼓吹乐,A
57,元杂剧的伴奏乐器是？,鼓、拍板、笛,琵琶、筝、箜篌,笙、管、埙,A
58,元杂剧的特点是什么？,七声音阶、字少声多,五声音阶、一字一音,四声音阶、长篇念白,A
59,元杂剧兴盛的主要原因是？,元代科举制度的废除和文人地位的低下，众多文人投入杂剧创作,元代皇室对戏曲艺术的大力支持和推广,元代商业繁荣导致娱乐需求增加,A
60,南戏产生于哪儿？又叫什么？,浙江温州一带，温州杂剧、永嘉杂剧,江苏苏州一带，苏州小戏、吴门杂剧,福建福州一带，闽剧、福州梨园戏,A
61,南戏主唱有几人？,突破一人主唱，剧中所有角色都可以演唱,一人主唱，其他角色不唱,两人主唱，男女主角轮流演唱,A
62,南戏的曲牌来自于哪儿？运用上形成了什么形式,来自于南方沿海一带的民间歌曲，固定的连缀形式。,来自于北方草原的游牧民族歌曲，自由的组合形式。,来自于西域传入的外来音乐，变化的套曲形式。,A
63,南戏的音乐特点是？,宫调使用不受限制，五声音阶、婉转细腻，具有南方特点,宫调使用严格限制，七声音阶、气势雄浑，具有北方特点,宫调使用自由多变，掺入西域音阶、热烈奔放，具有边疆特点,A
64,南戏的结构特点是？,一本有十几折甚至几十折,一本只有四折,每本标准七折,A
65,南戏的代表作是什么？,《荆钗记》《刘知远》《拜月亭》《杀狗记》合称四大传奇，后加入《琵琶记》，为五大传奇,《窦娥冤》《救风尘》《单刀会》《汉宫秋》《西厢记》合称五大名剧,《梁祝》《白蛇传》《牡丹亭》《桃花扇》《长生殿》合称五大名著,A
66,南戏《琵琶记》的作者是谁？,元代·高明,元代·王实甫,元代·关汉卿,A
67,元代关汉卿的元杂剧代表作有？,《窦娥冤》《救风尘》《望江亭》《单刀会》,《汉宫秋》《岳阳楼》《倩女离魂》,《西厢记》《墙头马上》《梧桐雨》,A
68,元代马致远的元杂剧代表作是？,《汉宫秋》《岳阳楼》,《窦娥冤》《救风尘》,《西厢记》《倩女离魂》,A
69,元代郑光祖的元杂剧代表作是？,《倩女离魂》,《梧桐雨》,《西厢记》,A
70,元代白朴的元杂剧代表作是？,《梧桐雨》《墙头马上》,《窦娥冤》《单刀会》,《汉宫秋》《岳阳楼》,A
71,元代王实甫的元杂剧代表作是？,《西厢记》,《倩女离魂》,《窦娥冤》,A
72,哪部元杂剧打破了一人主唱的传统？作者是？,王实甫《西厢记》,关汉卿《窦娥冤》,白朴《梧桐雨》,A
73,元杂剧《西厢记》的主人公是？,崔莺莺、张生,窦娥、蔡婆,王昭君、汉元帝,A
74,崔莺莺和张生两位人物出自于哪部作品？,王实甫的元杂剧《西厢记》,高明的南戏《琵琶记》,董解元的《西厢记诸宫调》,A
75,元杂剧《窦娥冤》的曲作者是？,关汉卿,马致远,王实甫,A
76,元杂剧《救风尘》的曲作者是？,关汉卿,白朴,郑光祖,A
77,元杂剧《望江亭》的曲作者是？,关汉卿,马致远,王实甫,A
78,元杂剧《单刀会》的曲作者是？,关汉卿,白朴,郑光祖,A
79,元杂剧《汉宫秋》的曲作者是？,马致远,关汉卿,王实甫,A
80,元杂剧《倩女离魂》的曲作者是？,郑光祖,白朴,马致远,A
81,元杂剧《梧桐雨》的曲作者是？,白朴,郑光祖,马致远,A
82,元杂剧《墙头马上》的曲作者是？,白朴,王实甫,关汉卿,A
83,元杂剧《西厢记》的曲作者是？,王实甫,关汉卿,马致远,A
84,唐代新出现的一种弓弦乐器是？,奚琴,琵琶,笙,A
85,中国古代胡类乐器的前身是？,奚琴,筝,箜篌,A
86,唐代的奚琴到宋代更名为？,嵇（jī）琴,胡琴,二胡,A
87,唐代新出现的弓弦乐器是什么？,轧筝,奚琴,阮,A
88,唐代的轧筝在宋代更名为？,秦,古筝,揩弦,A
89,元代的著名琵琶曲是？,《海青拿天鹅》,《十面埋伏》,《霓裳羽衣曲》,A
90,元代的《海青拿天鹅》是什么乐器的作品？,琵琶,筝,箜篌,A
91,中国历史上最早的琵琶曲是？,《海青拿天鹅》,《十面埋伏》,《春江花月夜》,A
92,火不思是什么地方的弹拨乐器？,西域,中原,江南,A
93,我国从西域传进的弹拨乐器火不思又称为？,浑不似,琵琶,三弦,A
94,西域乐器火不思是一种什么乐器？,弹拨乐器,吹奏乐器,打击乐器,A
95,由中亚传入我国元代的西洋管风琴被称为？其作用是？,兴隆笙，用于宫廷宴会,火不思，用于民间娱乐,波斯箜篌，用于宗教仪式,A
96,《乐书》的曲作者是？,北宋·陈旸（yáng）,南宋·姜夔,元代·关汉卿,A
97,我国历史上第一部大规模音乐百科全书是？作者是？,北宋·陈旸《乐书》,唐代·白居易《乐府杂录》,元代·燕南芝庵《唱论》,A
98,北宋陈旸所编撰的音乐百科全书《乐书》又被称为？,《陈旸乐书》,《宋代乐书》,《音乐大全》,A
99,北宋陈旸所编撰的音乐百科全书《乐书》共多少卷？,200卷,100卷,500卷,A
100,我国古代研究歌曲的专著是？作者是？,南宋·王灼《碧鸡漫志》,北宋·沈括《梦溪笔谈》,元代·燕南芝庵《唱论》,A
101,我国古代研究歌曲的专著《碧鸡漫志》的作者是？,南宋·王灼,北宋·陈旸,元代·张炎,A
102,南宋王灼所编撰的一部研究歌曲的专著是？,《碧鸡漫志》,《词源》,《乐书》,A
103,《碧鸡漫志》是研究什么的专著？,中国古代歌曲,中国古代乐器,中国古代乐律,A
104,研究古代乐律和宋词音乐的重要文献资料是？作者是？,南宋·张炎《词源》,北宋·陈旸《乐书》,元代·燕南芝庵《唱论》,A
105,研究古代乐律和宋词音乐的著作《词源》作者是？,南宋·张炎,南宋·王灼,北宋·陈旸,A
106,南宋张炎所编撰的研究古代乐律和宋词音乐的文献是？,《词源》,《碧鸡漫志》,《乐书》,A
107,《梦溪笔谈》的作者是？,北宋·沈括,南宋·王灼,元代·张炎,A
108,我国古代关于歌唱艺术的一部较为全面的理论著作是？作者是？,元代·燕南芝庵《唱论》,南宋·张炎《词源》,北宋·陈旸《乐书》,A
109,由元代燕南芝庵所撰写的歌唱艺术理论著作是？,《唱论》,《词源》,《乐书》,A
110,我国古代关于歌唱艺术的理论著作《唱论》的作者是？,元代·燕南芝庵,南宋·张炎,北宋·陈旸,A
111,元代燕南芝庵的《唱论》是一部关于什么歌唱方法的专著？,戏曲,词曲,民歌,A 
