题号,问题,选项A,选项B,选项C,正确答案
49,《华秋苹琵琶谱》中记录的琵琶名曲是？,《十面埋伏》,《春江花月夜》,《夕阳箫鼓》,A
50,《十面埋伏》最早收录于哪本曲谱？,《华秋苹琵琶谱》,《李芳园琵琶谱》,《弦索备考》,A
51,《弦索备考》（《弦索十三套》）的作者是？,清·荣斋,清·华秋苹,清·李芳园,A
52,清代蒙古文人荣斋抄编的器乐合奏谱是？又被称为？,《弦索备考》（《弦索十三套》）,《华秋苹琵琶谱》（《琵琶谱》）,《九宫大成南北词宫谱》（《词宫谱》）,A
53,清代蒙古文人荣斋抄编的器乐合奏谱《弦索备考》中所用乐器是？,琵琶、三弦、筝、胡琴等弦乐器,笛、笙、唢呐等管乐器,锣、鼓、钹等打击乐器,A
54,《南北派十三套大曲琵琶新谱》的作者是？别称是？,清·李芳园、《李芳园琵琶谱》,清·华秋苹、《华秋苹琵琶谱》,清·荣斋、《荣斋琵琶谱》,A
55,清代刊印的重要琵琶谱是？作者是？,《李芳园琵琶谱》（又称《南北派十三套大曲琵琶新谱》）、清·李芳园,《华秋苹琵琶谱》（又称《琵琶谱》）、清·华秋苹,《弦索备考》（又称《弦索十三套》）、清·荣斋,A
56,我国古代记载古琴美学思想著作《谿山琴况》的作者是？,清·徐上瀛,明·汤显祖,清·叶堂,A
57,古琴美学著作《谿山琴况》中的琴况是指？,琴乐审美之况味,琴的类型,琴的演奏技法,A
58,我国古代哪本著作被誉为集古琴美学思想的集大成者？,《谿山琴况》,《纳书楹曲谱》,《九宫大成南北词宫谱》,A
59,古代记载古琴美学著作《谿山琴况》中共记载了多少况？,24况,12况,36况,A
60,《谿山琴况》这部著作诞生于哪个朝代？,明末清初,唐宋时期,元代,A
61,将《聊斋志异》编写成俚曲的是谁？,明代·蒲松龄,清代·洪昇,清代·孔尚任,A
62,明代万历年间将西方文化带入中国的意大利传教士是？,利玛窦,徐光启,汤若望,A 
